# Title: Africa Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
185001,-1.22
185002,-1.75
185003,-1.15
185004,-1.03
185005,-1.22
185006,-0.45
185007,-0.35
185008,-0.49
185009,0.22
185010,-0.65
185011,-1.29
185012,-0.4
185101,-1.2
185102,-0.64
185103,-0.6
185104,-0.55
185105,-0.73
185106,-0.2
185107,0.16
185108,-0.38
185109,-0.75
185110,-0.03
185111,-1.35
185112,-0.71
185201,-0.82
185202,-0.92
185203,-0.78
185204,-0.63
185205,-0.57
185206,-0.14
185207,0
185208,0.37
185209,0.41
185210,0.23
185211,-0.19
185212,-0.83
185301,-1.26
185302,-0.18
185303,-0.87
185304,-0.62
185305,-0.58
185306,-0.75
185307,-0.19
185308,-0.35
185309,-0.42
185310,-0.34
185311,-0.9
185312,-0.77
185401,-0.61
185402,-1.17
185403,-1.19
185404,-1.22
185405,-0.56
185406,-0.56
185407,-0.79
185408,-0.96
185409,-0.63
185410,-0.5
185411,-0.51
185412,-0.73
185501,-1.05
185502,-0.54
185503,-0.6
185504,-1.07
185505,-0.77
185506,-0.9
185507,-0.54
185508,-1.02
185509,-0.56
185510,-0.46
185511,-0.28
185512,-0.8
185601,-0.36
185602,-0.5
185603,-1.26
185604,-1.33
185605,-0.73
185606,-0.65
185607,-0.98
185608,-1.16
185609,-0.62
185610,-1.01
185611,-1.14
185612,-1.31
185701,-0.52
185702,-1.51
185703,-0.41
185704,-0.05
185705,-0.75
185706,-0.38
185707,-0.82
185708,-0.89
185709,-0.6
185710,-0.54
185711,-1.12
185712,-1.2
185801,-1.26
185802,-0.88
185803,0.17
185804,-0.73
185805,-1.4
185806,-0.3
185807,-1.14
185808,-0.41
185809,-1.14
185810,-0.24
185811,-0.69
185812,-1.2
185901,-1.33
185902,-0.62
185903,-0.73
185904,0.23
185905,0.63
185906,-0.28
185907,-0.84
185908,-0.33
185909,-0.56
185910,-0.58
185911,-1.11
185912,-0.63
186001,-0.86
186002,-0.75
186003,-0.04
186004,0.09
186005,-1.12
186006,-0.64
186007,-1.16
186008,-0.62
186009,-0.52
186010,-0.81
186011,-0.73
186012,-0.55
186101,-0.99
186102,-0.88
186103,-0.72
186104,-1.23
186105,-1
186106,-0.59
186107,-0.57
186108,-1.06
186109,-0.05
186110,-0.57
186111,-0.35
186112,-1.09
186201,-1.21
186202,-1.06
186203,-0.81
186204,-0.73
186205,-1.12
186206,-0.64
186207,-0.76
186208,-0.3
186209,-0.79
186210,-1.13
186211,-0.77
186212,-1.55
186301,-0.95
186302,-1.22
186303,-0.3
186304,-0.75
186305,-1.06
186306,-0.62
186307,-0.77
186308,-0.56
186309,-0.56
186310,-0.44
186311,-0.71
186312,-1.6
186401,-1
186402,-1.21
186403,-0.33
186404,-0.52
186405,-0.46
186406,-0.35
186407,-0.24
186408,-0.98
186409,-1
186410,-0.6
186411,-0.29
186412,-0.81
186501,0.01
186502,-0.37
186503,-0.33
186504,-0.59
186505,-0.87
186506,-0.11
186507,-0.19
186508,-0.31
186509,-0.87
186510,-0.36
186511,-0.97
186512,-0.02
186601,-0.73
186602,0.02
186603,-0.32
186604,-0.06
186605,-0.61
186606,-0.51
186607,-0.73
186608,-0.62
186609,-0.47
186610,-0.81
186611,-1.63
186612,-0.63
186701,0.15
186702,-1.17
186703,-0.12
186704,-1.05
186705,-0.78
186706,-0.5
186707,-0.49
186708,-0.22
186709,-0.82
186710,-0.63
186711,-0.65
186712,-0.24
186801,-0.24
186802,-1.13
186803,-0.33
186804,-1.6
186805,-0.91
186806,-0.54
186807,-0.68
186808,0.05
186809,-0.22
186810,-0.17
186811,-1.77
186812,-0.34
186901,-0.33
186902,0.06
186903,0.22
186904,-0.47
186905,-0.27
186906,-0.14
186907,-0.22
186908,-0.46
186909,-0.4
186910,-0.31
186911,-0.52
186912,-0.16
187001,-0.44
187002,-0.51
187003,-0.53
187004,-0.96
187005,-0.52
187006,-0.33
187007,-0.13
187008,0.6
187009,-0.08
187010,-0.93
187011,-0.49
187012,-0.19
187101,0.06
187102,-0.3
187103,-0.49
187104,0.04
187105,-0.53
187106,-0.17
187107,-0.54
187108,-0.13
187109,-0.82
187110,-0.78
187111,-0.38
187112,0.6
187201,-0.7
187202,0.11
187203,0.14
187204,-0.53
187205,-0.63
187206,-0.45
187207,-0.57
187208,-0.18
187209,-0.11
187210,-0.59
187211,-1.06
187212,-0.36
187301,0.29
187302,-0.33
187303,-0.42
187304,-0.12
187305,0.01
187306,-0.13
187307,-0.58
187308,-0.41
187309,0.08
187310,-0.25
187311,-0.14
187312,-0.79
187401,-0.42
187402,-0.34
187403,-0.98
187404,-0.58
187405,-0.92
187406,-0.16
187407,-1.5
187408,-1.14
187409,-0.74
187410,-0.59
187411,-0.35
187412,0.15
187501,-0.45
187502,-0.07
187503,0.1
187504,-0.52
187505,-0.96
187506,0.31
187507,-0.65
187508,-0.26
187509,-0.95
187510,-0.82
187511,-1.49
187512,-1.25
187601,0.01
187602,-0.09
187603,-0.08
187604,-0.33
187605,-0.84
187606,0.21
187607,-0.77
187608,-0.27
187609,-0.37
187610,0.19
187611,-0.85
187612,0.04
187701,0.13
187702,-0.26
187703,-0.22
187704,-0.04
187705,-0.18
187706,0.31
187707,0.57
187708,0.01
187709,0.74
187710,0.23
187711,-0.56
187712,-0.32
187801,0.52
187802,-0.41
187803,0
187804,0.06
187805,0.09
187806,0.44
187807,-0.21
187808,-0.74
187809,-0.3
187810,-0.4
187811,-0.4
187812,-0.34
187901,0.38
187902,-0.08
187903,-0.76
187904,0.1
187905,-0.62
187906,-0.38
187907,-1.15
187908,-1.01
187909,-0.34
187910,-1.01
187911,-0.65
187912,-0.12
188001,-0.31
188002,-0.38
188003,-1.06
188004,0.06
188005,-0.51
188006,-0.15
188007,0.26
188008,-0.42
188009,-0.4
188010,-0.12
188011,0.01
188012,-0.1
188101,1.93
188102,0.28
188103,0
188104,-0.08
188105,0.16
188106,-0.09
188107,0.45
188108,0.16
188109,-0.1
188110,0.04
188111,-0.19
188112,0.45
188201,-0.01
188202,-0.68
188203,-0.57
188204,-0.2
188205,-0.09
188206,-0.61
188207,-0.57
188208,-0.18
188209,-0.3
188210,-0.36
188211,-0.88
188212,-0.02
188301,0.19
188302,-0.72
188303,-0.41
188304,0.2
188305,0.37
188306,0.72
188307,-0.1
188308,-0.83
188309,-0.78
188310,-1.15
188311,-0.72
188312,-1.02
188401,-0.52
188402,-0.03
188403,-0.46
188404,-0.17
188405,-0.17
188406,-0.42
188407,-0.64
188408,-1.27
188409,-0.86
188410,-0.76
188411,-0.79
188412,0.35
188501,0.59
188502,0.17
188503,-0.75
188504,-0.54
188505,0.72
188506,-0.37
188507,0.45
188508,1.06
188509,-0.02
188510,-0.24
188511,-0.51
188512,-0.22
188601,0.39
188602,0.52
188603,-0.67
188604,0.05
188605,-0.5
188606,-0.05
188607,0.25
188608,-0.09
188609,-0.2
188610,0.11
188611,-0.47
188612,-0.96
188701,-0.56
188702,-0.91
188703,-0.44
188704,-0.38
188705,-0.29
188706,-0.56
188707,-0.44
188708,0.65
188709,-0.05
188710,-0.22
188711,-0.48
188712,-0.48
188801,0.2
188802,0.26
188803,0.42
188804,-0.45
188805,0.03
188806,-0.1
188807,0.73
188808,0.08
188809,-0.66
188810,0.39
188811,-0.21
188812,-0.37
188901,0.48
188902,0.49
188903,0.12
188904,0.35
188905,1.35
188906,0.45
188907,0.53
188908,0.59
188909,0.18
188910,0.29
188911,-0.48
188912,-0.11
189001,-1.13
189002,-0.36
189003,-0.87
189004,-1.4
189005,0.05
189006,-0.77
189007,-0.13
189008,0.03
189009,-0.87
189010,-0.38
189011,-0.23
189012,-0.23
189101,-0.2
189102,-1.44
189103,-0.67
189104,-0.05
189105,0.22
189106,0.14
189107,0.91
189108,-0.12
189109,-0.02
189110,0.26
189111,-0.16
189112,-0.53
189201,-0.3
189202,-0.12
189203,0.07
189204,-0.35
189205,-0.69
189206,-0.21
189207,-0.41
189208,-0.24
189209,-0.26
189210,-0.87
189211,-0.28
189212,-0.24
189301,0
189302,-0.63
189303,-1.52
189304,-0.76
189305,-0.65
189306,-0.42
189307,-0.49
189308,-0.12
189309,-0.53
189310,-0.37
189311,-0.31
189312,0.09
189401,0.18
189402,-0.59
189403,-0.35
189404,-0.46
189405,0.03
189406,-0.73
189407,0.14
189408,0.28
189409,0
189410,-0.02
189411,0.08
189412,-0.52
189501,0.35
189502,0.61
189503,-0.24
189504,0.21
189505,0.03
189506,-0.59
189507,0.27
189508,-0.03
189509,-0.63
189510,-0.45
189511,-0.01
189512,0.09
189601,0.39
189602,0.33
189603,0.01
189604,-0.25
189605,-0.62
189606,0.21
189607,0.4
189608,0.02
189609,-0.31
189610,0.16
189611,0.02
189612,0.3
189701,0.27
189702,-0.16
189703,-0.34
189704,0.15
189705,-0.26
189706,0.48
189707,0.35
189708,0.58
189709,-0.09
189710,-0.02
189711,0.14
189712,0.1
189801,-1.21
189802,-0.88
189803,0.25
189804,-0.45
189805,-0.08
189806,-0.04
189807,0.46
189808,0.05
189809,-0.12
189810,0.64
189811,-0.08
189812,-0.15
189901,-0.18
189902,-0.01
189903,0.05
189904,-0.19
189905,-0.48
189906,-0.35
189907,0.38
189908,0.49
189909,0.74
189910,0.18
