# Title: Antarctic Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
185001,-0.05
185002,-0.29
185003,-0.09
185004,-0.16
185005,-0.01
185006,0.09
185007,0.21
185008,0.29
185009,0.1
185010,0.07
185011,0.15
185012,-0.15
185101,-0.18
185102,-0.13
185103,-0.14
185104,-0.21
185105,-0.22
185106,-0.18
185107,0.12
185108,0.3
185109,0.45
185110,0.22
185111,-0.04
185112,-0.21
185201,-0.28
185202,-0.17
185203,-0.1
185204,-0.15
185205,-0.14
185206,0.25
185207,-0.09
185208,0.31
185209,0.24
185210,0.1
185211,0.02
185212,-0.16
185301,-0.26
185302,-0.13
185303,-0.08
185304,-0.34
185305,-0.01
185306,0.15
185307,0.2
185308,0.19
185309,0.1
185310,0.15
185311,-0.01
185312,-0.08
185401,-0.1
185402,-0.21
185403,-0.09
185404,-0.24
185405,0.05
185406,0.07
185407,0.09
185408,0.23
185409,0.13
185410,0.07
185411,-0.11
185412,-0.09
185501,-0.02
185502,-0.02
185503,0.05
185504,-0.14
185505,0.03
185506,0.41
185507,0.2
185508,0.14
185509,0.19
185510,0.13
185511,-0.08
185512,0.1
185601,-0.27
185602,-0.1
185603,0.01
185604,-0.13
185605,-0.01
185606,0.24
185607,0.24
185608,0.02
185609,0.11
185610,0.03
185611,-0.08
185612,-0.06
185701,-0.31
185702,-0.2
185703,-0.08
185704,-0.15
185705,-0.15
185706,-0.03
185707,0.03
185708,0.31
185709,-0.03
185710,0.08
185711,-0.08
185712,-0.04
185801,-0.07
185802,0.01
185803,0.06
185804,-0.05
185805,-0.07
185806,0.07
185807,0.37
185808,0.29
185809,0.21
185810,0.14
185811,-0.14
185812,-0.02
185901,-0.28
185902,-0.2
185903,-0.11
185904,0.08
185905,0.03
185906,0
185907,0.03
185908,0.24
185909,0.12
185910,0.17
185911,-0.08
185912,-0.04
186001,-0.17
186002,-0.04
186003,-0.03
186004,-0.1
186005,-0.19
186006,0.15
186007,0.36
186008,0.35
186009,0
186010,0.13
186011,-0.09
186012,-0.1
186101,-0.07
186102,-0.07
186103,0.04
186104,-0.14
186105,-0.18
186106,0.09
186107,0.32
186108,0.11
186109,-0.01
186110,0.18
186111,-0.06
186112,-0.13
186201,-0.05
186202,-0.05
186203,-0.08
186204,-0.16
186205,-0.16
186206,0.18
186207,0.13
186208,0.13
186209,0.21
186210,0.15
186211,0.07
186212,0.12
186301,-0.08
186302,-0.11
186303,0.07
186304,-0.05
186305,-0.19
186306,0.08
186307,-0.01
186308,0.1
186309,0.1
186310,0.12
186311,-0.11
186312,-0.17
186401,-0.15
186402,-0.07
186403,-0.1
186404,-0.13
186405,-0.43
186406,-0.05
186407,0
186408,0.14
186409,0.17
186410,0.03
186411,-0.12
186412,-0.11
186501,-0.28
186502,-0.06
186503,-0.06
186504,-0.05
186505,-0.06
186506,-0.18
186507,0.26
186508,0.22
186509,0.29
186510,-0.03
186511,-0.09
186512,-0.06
186601,-0.37
186602,-0.16
186603,0.05
186604,-0.04
186605,-0.07
186606,0.18
186607,0.15
186608,0.25
186609,0.27
186610,0.15
186611,-0.11
186612,-0.26
186701,-0.26
186702,-0.18
186703,0.12
186704,-0.09
186705,-0.02
186706,0.05
186707,0.18
186708,0.15
186709,0.06
186710,0.19
186711,-0.06
186712,-0.05
186801,-0.08
186802,-0.18
186803,-0.04
186804,-0.06
186805,-0.14
186806,0.04
186807,0.11
186808,0.49
186809,0.27
186810,0.23
186811,-0.02
186812,-0.08
186901,0.03
186902,-0.06
186903,0.16
186904,-0.01
186905,0.17
186906,0.03
186907,0.1
186908,0.22
186909,0.12
186910,0.13
186911,-0.02
186912,0.17
187001,-0.05
187002,-0.11
187003,0.07
187004,-0.06
187005,-0.17
187006,-0.15
187007,0.11
187008,0.4
187009,0.21
187010,0.14
187011,0.01
187012,0.07
187101,-0.14
187102,-0.23
187103,-0.21
187104,-0.22
187105,-0.15
187106,0.5
187107,0.27
187108,0.19
187109,0.06
187110,0.17
187111,0.09
187112,0.04
187201,-0.23
187202,-0.08
187203,0.07
187204,0
187205,0.18
187206,0.26
187207,-0.03
187208,0.18
187209,-0.18
187210,0.1
187211,-0.07
187212,-0.09
187301,-0.36
187302,-0.18
187303,-0.2
187304,-0.11
187305,-0.16
187306,-0.03
187307,0.07
187308,0.32
187309,0.07
187310,0.12
187311,-0.22
187312,-0.03
187401,-0.41
187402,-0.13
187403,-0.07
187404,0.13
187405,-0.37
187406,0.11
187407,0.03
187408,0.19
187409,0.07
187410,0.29
187411,0.02
187412,0.1
187501,-0.12
187502,0.03
187503,0.08
187504,0.06
187505,0.04
187506,0.51
187507,0.09
187508,-0.03
187509,0.19
187510,0.09
187511,0.05
187512,0.15
187601,0.03
187602,-0.02
187603,0.18
187604,0.25
187605,-0.11
187606,0.06
187607,0.03
187608,-0.04
187609,0.25
187610,0.32
187611,0.03
187612,0.02
187701,-0.06
187702,-0.12
187703,0.31
187704,0.12
187705,-0.09
187706,-0.05
187707,0.1
187708,-0.22
187709,-0.27
187710,0.15
187711,0.03
187712,0.28
187801,0.11
187802,0.06
187803,0.18
187804,0.04
187805,0.12
187806,0.34
187807,0.62
187808,0.44
187809,0.35
187810,0.42
187811,0.18
187812,0.12
187901,0.15
187902,0.07
187903,0.25
187904,-0.01
187905,-0.16
187906,0.37
187907,0.31
187908,0.33
187909,-0.05
187910,0.01
187911,-0.04
187912,0.01
188001,0.36
188002,0.03
188003,0.15
188004,0.12
188005,-0.11
188006,-0.01
188007,-0.24
188008,0.6
188009,0.1
188010,0.03
188011,-0.18
188012,-0.05
188101,-0.1
188102,0.13
188103,-0.01
188104,0.04
188105,0.04
188106,-0.01
188107,-0.26
188108,-0.03
188109,-0.1
188110,-0.01
188111,0.07
188112,0.08
188201,0.03
188202,-0.01
188203,0.18
188204,0.15
188205,0.04
188206,-0.15
188207,0
188208,-0.06
188209,-0.08
188210,0.4
188211,0.28
188212,0.17
188301,0.03
188302,-0.11
188303,0.2
188304,-0.21
188305,-0.1
188306,0.4
188307,0.52
188308,-0.06
188309,-0.08
188310,0.02
188311,0.18
188312,0
188401,-0.26
188402,-0.06
188403,-0.08
188404,0
188405,0.09
188406,0.33
188407,-0.03
188408,0.4
188409,-0.07
188410,0
188411,0.22
188412,-0.14
188501,0.01
188502,-0.04
188503,-0.24
188504,-0.05
188505,0.27
188506,-0.51
188507,-0.03
188508,0.21
188509,-0.16
188510,0.08
188511,-0.04
188512,0.06
188601,-0.35
188602,-0.06
188603,0.04
188604,-0.17
188605,0.06
188606,-0.02
188607,-0.04
188608,0.53
188609,0.15
188610,0.14
188611,0.1
188612,-0.28
188701,-0.24
188702,-0.08
188703,-0.1
188704,-0.05
188705,-0.41
188706,-0.33
188707,0.33
188708,0.07
188709,0.04
188710,-0.04
188711,0.06
188712,0.02
188801,-0.06
188802,0
188803,0.12
188804,0.25
188805,0.18
188806,0.35
188807,0.5
188808,0.08
188809,-0.41
188810,0.02
188811,0.18
188812,-0.05
188901,-0.06
188902,0.09
188903,0.26
188904,0.07
188905,0.05
188906,0.16
188907,-0.19
188908,-0.22
188909,0.39
188910,0.39
188911,0.18
188912,0.19
189001,-0.11
189002,0.02
189003,0.06
189004,-0.06
189005,0.39
189006,-0.21
189007,0.04
189008,0.49
189009,0.08
189010,0.13
189011,0.2
189012,0.16
189101,-0.13
189102,-0.33
189103,0.04
189104,-0.24
189105,0.17
189106,0.28
189107,-0.35
189108,-0.49
189109,-0.42
189110,-0.23
189111,-0.21
189112,-0.03
189201,-0.34
189202,-0.1
189203,0
189204,0.08
189205,-0.14
189206,0.47
189207,-0.25
189208,0.24
189209,-0.01
189210,-0.04
189211,0.29
189212,-0.2
189301,-0.17
189302,0.02
189303,0
189304,-0.04
189305,0.01
189306,0.41
189307,-0.33
189308,-0.45
189309,0
189310,0.38
189311,-0.16
189312,-0.26
189401,-0.34
189402,-0.44
189403,-0.32
189404,-0.05
189405,-0.01
189406,-0.4
189407,-0.01
189408,-0.06
189409,-0.71
189410,-0.08
189411,-0.31
189412,-0.12
189501,-0.28
189502,-0.53
189503,0.03
189504,0.03
189505,-0.33
189506,0
189507,0
189508,-0.02
189509,-0.36
189510,0.02
189511,-0.21
189512,0.12
189601,0.15
189602,-0.33
189603,0.09
189604,0.25
189605,0.14
189606,0.45
189607,-0.58
189608,-0.52
189609,-0.5
189610,-0.23
189611,-0.15
189612,0.11
189701,-0.31
189702,-0.35
189703,-0.43
189704,0.01
189705,-0.08
189706,0.35
189707,-0.11
189708,0.19
189709,0.27
189710,0.38
189711,0.51
189712,0.07
189801,-0.05
189802,-0.2
189803,-0.08
189804,-0.21
189805,0.04
189806,0.01
189807,0.57
189808,0.3
189809,0.6
189810,0.43
189811,0.1
189812,0.27
189901,-0.23
189902,-0.24
189903,0.26
189904,0.14
189905,0.08
189906,0.16
189907,-0.03
189908,-0.05
189909,0.31
189910,0.22
189911,0.37
189912,0.07
190001,-0.07
190002,0.54
190003,0.17
190004,-0.32
190005,-0.45
190006,0
190007,-0.12
190008,-0.19
190009,-0.62
190010,0.39
190011,0.06
190012,0.13
190101,0.1
190102,-0.16
190103,-0.48
190104,-0.03
190105,-0.17
190106,-0.52
190107,0.07
190108,0.08
190109,0.33
190110,0.05
190111,0.16
190112,0.18
190201,-0.17
190202,-0.03
190203,-0.07
190204,-0.21
190205,0.28
190206,0.68
190207,0.33
190208,-0.06
190209,0.32
190210,0.07
190211,0.32
190212,0.06
190301,0.09
190302,-0.28
190303,0.19
190304,-0.29
190305,0.1
190306,0.64
190307,-0.46
190308,-0.57
190309,-0.4
190310,0.37
190311,-0.1
190312,-0.14
190401,-0.56
190402,-0.24
190403,-0.08
190404,-0.58
190405,-0.4
190406,0.17
190407,0.04
190408,-0.43
190409,0.16
190410,-0.02
190411,0.17
190412,0.27
190501,-0.19
190502,-0.45
190503,-0.03
190504,-0.37
190505,0.43
190506,0.55
190507,0.49
190508,-0.69
190509,-0.6
190510,-0.9
190511,-0.06
190512,0.28
190601,-0.28
190602,-0.17
190603,-0.06
190604,0.13
190605,0.17
190606,0.96
190607,0.47
190608,-0.1
190609,-0.1
190610,0.08
190611,0.23
190612,0.25
190701,-0.3
190702,-0.31
190703,0.12
190704,-0.21
190705,0.13
190706,0.07
190707,0.64
190708,1.05
190709,-0.19
190710,0.07
190711,-0.35
190712,-0.22
190801,-0.46
190802,-0.3
190803,-0.03
190804,-0.18
190805,-0.64
190806,-0.43
190807,0.04
190808,-0.51
190809,-1.04
190810,-0.16
190811,0.09
190812,0.19
190901,-0.44
190902,-0.12
190903,0.07
190904,0.07
190905,0.36
190906,0.17
190907,-0.23
190908,-0.21
190909,-0.07
190910,0.6
190911,0.24
190912,-0.17
191001,-0.42
191002,-0.5
191003,-0.07
191004,0.06
191005,0.15
191006,0.45
191007,0.37
191008,0.07
191009,0.05
191010,-0.25
191011,0.09
191012,-0.17
191101,-0.14
191102,-0.34
191103,-0.37
191104,-0.13
191105,-0.6
191106,-0.32
191107,-0.02
191108,0.52
191109,0.11
191110,0.12
191111,0
191112,0.17
191201,-0.07
191202,0.13
191203,0.53
191204,-0.38
191205,-0.4
191206,-0.33
191207,0.39
191208,-0.31
191209,0.08
191210,0
191211,0.22
191212,0.12
191301,0.05
191302,-0.1
191303,-0.19
191304,-0.4
191305,-0.48
191306,0.32
191307,-0.22
191308,0.69
191309,0.09
191310,0.29
191311,0.15
191312,0.27
191401,0.06
191402,0.17
191403,-0.19
191404,0.25
191405,0.21
191406,0.33
191407,-0.18
191408,-0.64
191409,-0.64
191410,-0.63
191411,0.61
191412,-0.39
191501,-0.32
191502,-0.11
191503,-0.01
191504,0.35
191505,-0.43
191506,0.36
191507,0.19
191508,0.09
191509,0.44
191510,0.4
191511,0.52
191512,0.13
191601,0.04
191602,-0.02
191603,0.15
191604,0.45
191605,0.36
191606,1.06
191607,0.02
191608,1.26
191609,-0.33
191610,-0.31
191611,-0.18
191612,0.15
191701,0.23
191702,-0.1
191703,-0.59
191704,0.23
191705,-0.37
191706,-0.52
191707,0.62
191708,0.19
191709,-0.07
191710,-0.04
191711,-0.06
191712,0.34
191801,-0.41
191802,-0.44
191803,-0.61
191804,-0.42
191805,0.24
191806,-0.32
191807,0.26
191808,0.3
191809,-0.35
191810,0.28
191811,0.17
191812,0.25
191901,0.05
191902,-0.23
191903,-0.18
191904,0.65
191905,-0.26
191906,-0.19
191907,-0.1
191908,-0.67
191909,-0.03
191910,-1.07
191911,-0.02
191912,-0.03
192001,-0.24
192002,-0.65
192003,-0.82
192004,-0.7
192005,-0.22
192006,0.07
192007,-0.12
192008,0.2
192009,0.04
192010,-0.18
192011,-0.29
192012,-0.13
192101,-0.08
192102,-0.2
192103,-0.06
192104,-0.42
192105,-0.02
192106,-0.23
192107,0.38
192108,0.42
192109,0.1
192110,-0.03
192111,-0.29
192112,0.14
192201,-0.45
192202,-0.4
192203,-0.4
192204,0.29
192205,-0.32
192206,-0.04
192207,-0.39
192208,-0.69
192209,0.3
192210,0.2
192211,0.9
192212,-0.39
192301,-0.02
192302,0.09
192303,-0.17
192304,0.06
192305,0.43
192306,0.05
192307,-0.47
192308,-0.93
192309,-0.52
192310,-0.51
192311,-0.14
192312,0.5
192401,-0.16
192402,0.16
192403,0.02
192404,-0.25
192405,-0.45
192406,-0.35
192407,-0.84
192408,-0.98
192409,0.13
192410,0.14
192411,-0.03
192412,-0.2
192501,-0.17
192502,-0.13
192503,-0.82
192504,0.02
192505,0.3
192506,-0.23
192507,-0.14
192508,-0.97
192509,-1.21
192510,-0.31
192511,-0.34
192512,-0.26
192601,0.07
192602,0.12
192603,-0.08
192604,0.42
192605,0.02
192606,-0.15
192607,0.17
192608,-0.88
192609,-0.29
192610,0.27
192611,-0.24
192612,0.11
192701,-0.39
192702,-0.06
192703,0.1
192704,-0.65
192705,-0.26
192706,0.73
192707,-0.15
192708,1.28
192709,-0.22
192710,-0.28
192711,0.21
192712,-0.28
192801,-0.34
192802,-0.46
192803,-0.28
192804,0.05
192805,-0.16
192806,1.02
192807,-0.61
192808,-0.16
192809,0.61
192810,0.09
192811,-0.31
192812,0.44
192901,0.47
192902,-0.33
192903,0.31
192904,-0.46
192905,0.05
192906,-0.93
192907,-1.07
192908,0.1
192909,-0.33
192910,-0.21
192911,-0.08
192912,-0.29
193001,-0.43
193002,-0.49
193003,-0.61
193004,0.16
193005,0.14
193006,-0.37
193007,0.35
193008,-0.49
193009,-0.55
193010,-0.09
193011,0.19
193012,-0.18
193101,0.02
193102,-0.53
193103,-0.21
193104,-0.18
193105,0
193106,-0.13
193107,-0.26
193108,0.16
193109,0.15
193110,-0.51
193111,-0.06
193112,0.04
193201,0.08
193202,-0.6
193203,-0.1
193204,0.09
193205,-0.13
193206,0.27
193207,-0.8
193208,-1.63
