# Title: Arctic Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
185001,-1.29
185002,0.57
185003,0.19
185004,-0.38
185005,-1.27
185006,-0.46
185007,-0.14
185008,0.36
185009,-0.77
185010,-2
185011,-0.73
185012,-0.4
185101,-0.71
185102,0.11
185103,-0.81
185104,-0.82
185105,-0.3
185106,-0.08
185107,0.39
185108,0.32
185109,-0.06
185110,0.09
185111,0.52
185112,0.65
185201,1.2
185202,0.62
185203,-0.51
185204,-0.21
185205,0.08
185206,0.05
185207,0.09
185208,-0.22
185209,0
185210,-1.56
185211,-1.2
185212,-0.44
185301,0.19
185302,-0.97
185303,-1.69
185304,-0.83
185305,-0.2
185306,-0.23
185307,0.11
185308,-0.01
185309,-0.02
185310,0.14
185311,-0.06
185312,1
185401,-0.4
185402,0.88
185403,1.32
185404,0.6
185405,-0.7
185406,-0.09
185407,0.1
185408,0.4
185409,0
185410,-0.1
185411,0.15
185412,-0.35
185501,0.39
185502,-0.49
185503,-0.54
185504,-0.1
185505,-0.66
185506,-0.22
185507,-0.47
185508,0.11
185509,-0.54
185510,-0.96
185511,-0.91
185512,-0.29
185601,1.81
185602,1.39
185603,1.33
185604,-0.28
185605,-1
185606,-0.49
185607,-0.16
185608,-0.69
185609,-0.53
185610,-1.46
185611,0.27
185612,0.67
185701,0.42
185702,-0.34
185703,1.1
185704,-0.41
185705,-0.48
185706,-0.11
185707,-0.24
185708,0.06
185709,-0.56
185710,-1.47
185711,-0.16
185712,0.32
185801,0.17
185802,1.19
185803,-0.56
185804,0.06
185805,-0.16
185806,-0.3
185807,0.36
185808,-0.2
185809,-0.73
185810,-0.61
185811,-1.07
185812,-1.19
185901,-0.39
185902,0.29
185903,1.25
185904,-0.25
185905,-0.71
185906,-0.04
185907,-0.38
185908,-0.36
185909,-0.32
185910,-0.96
185911,-0.65
185912,1.28
186001,0.05
186002,-0.69
186003,0.96
186004,-0.63
186005,-0.18
186006,-0.01
186007,-0.32
186008,-0.53
186009,-0.83
186010,-0.82
186011,0.29
186012,-1.41
186101,0.49
186102,0.42
186103,1.42
186104,0.4
186105,-0.09
186106,-0.46
186107,-0.12
186108,-0.24
186109,-0.13
186110,-0.84
186111,-0.85
186112,-0.31
186201,2.53
186202,1.5
186203,-0.26
186204,-0.12
186205,-0.9
186206,-0.79
186207,-0.53
