# Title: Asia Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
185001,-2.44
185002,-0.65
185003,0.56
185004,-1.69
185005,-1.48
185006,-0.97
185007,-0.41
185008,-0.19
185009,-0.8
185010,-2.25
185011,-1.68
185012,0.18
185101,-1.35
185102,-0.59
185103,-2.55
185104,-2.55
185105,-1.17
185106,-0.6
185107,-0.15
185108,-0.15
185109,-0.76
185110,-0.52
185111,-1.41
185112,0
185201,-0.35
185202,-1.58
185203,-1.73
185204,-1.28
185205,-0.72
185206,-0.47
185207,-0.37
185208,-0.88
185209,-0.72
185210,-0.87
185211,-1.3
185212,0.82
185301,-1.49
185302,-2.18
185303,-1.39
185304,-2.07
185305,-0.74
185306,-0.44
185307,0.05
185308,-0.16
185309,-0.39
185310,-0.89
185311,-0.88
185312,-0.61
185401,-1.56
185402,-0.76
185403,0.17
185404,-0.4
185405,-0.49
185406,-0.57
185407,-0.05
185408,0.08
185409,-0.33
185410,0.48
185411,0.18
185412,0.81
185501,-0.17
185502,0.56
185503,-0.17
185504,0.28
185505,-0.53
185506,-0.47
185507,-0.82
185508,-0.34
185509,-0.59
185510,-0.79
185511,-1.69
185512,-0.99
185601,0.58
185602,-1.34
185603,-0.89
185604,-1.17
185605,-1
185606,-0.58
185607,-0.06
185608,-0.93
185609,-0.96
185610,-1.19
185611,-0.03
185612,1.53
185701,0.26
185702,-1.66
185703,-0.98
185704,-1.61
185705,-1.5
185706,-0.86
185707,-0.54
185708,-0.49
185709,-1.04
185710,-1.31
185711,-0.86
185712,0.69
185801,-0.09
185802,-0.33
185803,-0.79
185804,-0.19
185805,-0.71
185806,-0.81
185807,-0.21
185808,-0.81
185809,-1.03
185810,-0.67
185811,-0.44
185812,-0.61
185901,-0.39
185902,-0.57
185903,-0.32
185904,0.31
185905,-0.31
185906,-0.06
185907,-0.5
185908,-0.42
185909,-0.75
185910,-0.82
185911,0.42
185912,0.83
186001,-1.85
186002,-1.37
186003,-3.26
186004,-1.31
186005,-0.91
186006,-0.29
186007,-0.33
186008,-0.37
186009,-0.4
186010,-0.91
186011,-1.37
186012,-2.73
186101,-2.8
186102,-2.47
186103,-0.63
186104,-0.84
186105,-0.59
186106,-0.55
186107,-0.19
186108,-0.19
186109,-0.85
186110,-1.5
186111,-0.31
186112,-0.76
186201,-2.38
186202,-1.99
186203,-1.84
186204,-1.61
186205,-1.28
186206,-0.83
186207,-0.62
186208,-0.64
186209,-0.72
186210,-1.29
186211,-1.23
186212,-2.93
186301,-0.28
186302,-0.14
186303,-0.37
186304,-0.06
186305,-0.69
186306,-0.52
186307,-0.57
186308,-0.43
186309,-1.04
186310,-0.95
186311,-0.01
186312,0.22
186401,-1.71
186402,-1.67
186403,-1.23
186404,-0.71
186405,-0.66
186406,-0.28
186407,-0.36
186408,-0.63
186409,-1.01
186410,-0.83
186411,-1.32
186412,-2.42
186501,1.44
186502,-1.62
186503,-1.41
186504,-1.24
186505,-0.68
186506,-0.34
186507,-0.05
186508,-0.37
186509,-0.12
186510,-0.33
186511,-0.05
186512,-0.23
186601,1.17
186602,-0.35
186603,-1.16
186604,-1.28
186605,-0.64
186606,-0.87
186607,-0.09
186608,-0.41
186609,0.05
186610,-0.9
186611,0.42
186612,1.7
186701,-0.43
186702,-1.2
186703,-0.33
186704,-1.04
186705,-1.42
186706,-0.51
186707,-0.3
186708,-0.53
186709,-0.42
186710,-0.66
186711,1.21
186712,1.31
186801,-0.66
186802,-0.25
186803,-0.74
186804,0.01
186805,-0.38
186806,-0.56
186807,-0.24
186808,-0.33
186809,-0.31
186810,-0.44
186811,-1.38
186812,-0.23
186901,-0.52
186902,1.4
186903,-0.95
186904,-0.74
186905,-0.54
186906,-0.41
186907,-0.18
186908,0.06
186909,0.02
186910,-0.54
186911,0.66
186912,-1.35
187001,-2.49
187002,-2.38
187003,-0.2
187004,-0.91
187005,-0.61
187006,0.15
187007,-0.09
187008,-0.59
187009,-0.15
187010,-1.21
187011,-1.85
187012,-2.67
187101,-2.22
187102,-2.6
187103,0.14
187104,-0.53
187105,-0.84
187106,-0.4
187107,-0.17
187108,-0.11
187109,-0.44
187110,-0.8
187111,-1.16
187112,-0.65
187201,-2.8
187202,-2.76
187203,-0.3
187204,-1.31
187205,-0.28
187206,-0.95
187207,-0.06
