# Title: Atlantic MDR Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
185001,-0.15
185002,0.03
185003,-0.08
185004,0.07
185005,0.58
185006,0.37
185007,0.14
185008,0.07
185009,0.15
185010,0.1
185011,0.33
185012,0.29
185101,0.01
185102,-0.04
185103,0.18
185104,0.3
185105,0.16
185106,0.03
185107,0.1
185108,0.18
185109,0.25
185110,0.7
185111,0.45
185112,0.26
185201,0.21
185202,0.08
185203,0.05
185204,0.29
185205,0.13
185206,0.26
185207,0.1
185208,0.06
185209,0.02
185210,0.04
185211,0.23
185212,0.23
185301,0.47
185302,0.46
185303,0.22
185304,0.12
185305,0.05
185306,0.14
185307,0.13
185308,-0.01
185309,-0.16
185310,0.15
185311,-0.1
185312,0.15
185401,0.26
185402,0.3
185403,0.13
185404,0.07
185405,-0.05
185406,-0.19
185407,-0.13
185408,-0.23
185409,0.09
185410,0.19
185411,0.42
185412,0.5
185501,0.44
185502,0.46
185503,0.43
185504,0.41
185505,0.29
185506,0.29
185507,0.21
185508,0.09
185509,-0.11
185510,0.12
185511,0.35
185512,0.43
185601,0.23
185602,0.55
185603,0.4
185604,0.19
185605,0.09
185606,-0.13
185607,-0.44
185608,-0.29
185609,0.24
185610,0.07
185611,0.09
185612,-0.07
185701,-0.19
185702,-0.29
185703,-0.33
185704,-0.16
185705,-0.09
185706,0.16
185707,0.07
185708,0.01
185709,0.16
185710,0.1
185711,-0.16
185712,-0.08
185801,-0.28
185802,-0.19
185803,-0.25
185804,0.18
185805,-0.01
185806,-0.08
185807,-0.19
185808,-0.1
185809,-0.18
185810,-0.03
185811,0.12
185812,-0.01
185901,-0.16
185902,-0.37
185903,-0.19
185904,0.08
185905,0.12
185906,-0.04
185907,-0.13
185908,0.04
185909,0.23
185910,0.03
185911,-0.12
185912,-0.01
186001,0.08
186002,-0.23
186003,-0.16
186004,0.09
186005,0.09
186006,-0.28
186007,0.01
186008,-0.16
186009,-0.03
186010,0.12
186011,0.51
186012,0.66
186101,0.43
186102,-0.07
186103,-0.16
186104,-0.16
186105,-0.47
186106,-1.13
186107,-0.08
186108,-0.02
186109,0.01
186110,-0.4
186111,-0.4
186112,-0.27
186201,-0.39
186202,-0.42
186203,-0.3
186204,-0.35
186205,-0.46
186206,-0.32
186207,-0.36
186208,-0.28
186209,0.03
186210,-0.11
186211,-0.21
186212,-0.42
186301,-0.44
186302,-0.82
186303,-0.59
186304,-0.81
186305,-0.31
186306,-0.39
186307,-0.45
186308,-0.51
186309,-0.59
186310,-0.4
186311,-0.12
186312,-0.5
186401,-0.78
186402,-0.97
186403,-0.63
186404,-0.1
186405,-0.17
186406,-0.33
186407,0.17
186408,-0.06
186409,-0.75
186410,-0.32
186411,0.3
186412,0.76
186501,-0.14
186502,-0.04
186503,-0.05
186504,-0.18
186505,0.05
186506,0.16
186507,0.18
186508,-0.18
186509,-0.1
186510,0.06
186511,0.29
186512,0.28
186601,0.14
186602,0.18
186603,-0.02
186604,-0.01
186605,-0.77
186606,-0.25
186607,0.18
186608,0.05
186609,-0.97
186610,-0.66
186611,0.29
186612,0.21
186701,0.08
186702,-0.07
186703,-0.04
186704,-0.56
186705,0.19
186706,0.34
186707,0.37
186708,0.21
186709,0.05
186710,-0.02
186711,0.29
186712,-0.38
186801,-0.5
186802,-0.12
186803,0.19
186804,-0.08
186805,-0.01
186806,-0.3
186807,-0.5
186808,-0.38
186809,-0.35
186810,-0.24
186811,-0.13
186812,-0.25
186901,-0.63
186902,-0.56
186903,-0.07
186904,0.01
186905,0.24
186906,0.21
186907,-0.13
186908,-0.23
186909,-0.01
186910,0.03
186911,0.13
186912,-0.03
187001,0.12
187002,0.05
187003,-0.19
187004,-0.29
187005,-0.5
187006,-0.5
187007,-0.44
187008,0.08
187009,0.43
187010,0.18
187011,-0.04
187012,-0.03
187101,-0.58
187102,-0.7
187103,-0.25
187104,-0.4
187105,-0.27
187106,0.08
187107,0.36
187108,-0.03
187109,-0.37
187110,-0.36
187111,-0.17
187112,-0.35
187201,-0.12
187202,-0.24
187203,-0.41
187204,-0.56
187205,-0.42
187206,-0.42
187207,-0.26
187208,-0.24
187209,-1.1
187210,-0.53
187211,-0.13
187212,-0.36
187301,0.13
187302,-0.43
187303,-0.59
187304,-0.6
187305,-0.23
187306,-0.43
187307,-0.19
187308,0.05
187309,-0.16
187310,-0.27
187311,0.05
187312,0.15
187401,-0.09
187402,-0.22
187403,-0.21
187404,-0.23
187405,-0.35
187406,0.05
187407,0.36
187408,0.47
187409,-0.16
187410,-0.52
187411,-0.66
187412,-0.56
187501,-0.48
187502,-0.22
187503,-0.35
187504,-0.4
187505,-0.29
187506,-0.04
187507,-0.18
187508,-0.23
187509,0.12
187510,0.14
187511,0.04
187512,0.15
187601,0.22
187602,-0.23
187603,-0.16
187604,-0.11
187605,0.04
187606,0.28
187607,0.17
187608,0.31
187609,0.01
187610,0.49
187611,0.6
187612,0.6
187701,0.26
187702,0.33
187703,0.76
187704,0.71
187705,0.56
187706,0.39
187707,0.17
187708,0.29
187709,0.8
187710,0.83
187711,0.53
187712,0.77
187801,0.73
187802,0.17
187803,0.6
187804,0.76
187805,1.23
187806,0.97
187807,0.76
187808,1.13
187809,1.21
187810,1.08
187811,0.78
187812,1.03
187901,0.33
187902,0.45
187903,0.42
187904,0.63
187905,0.63
187906,0.67
187907,0.8
187908,0.55
187909,0.58
187910,0.54
187911,-0.02
187912,-0.1
188001,-0.15
188002,-0.06
188003,-0.01
188004,0.03
188005,-0.22
188006,-0.07
188007,-0.05
188008,0.01
188009,0.02
188010,0.18
188011,-0.07
188012,0.11
188101,0.37
188102,0.49
188103,0.63
188104,0.73
188105,0.75
188106,0.65
188107,0.52
188108,0.35
188109,0.41
188110,0.19
188111,-0.12
188112,-0.38
188201,-0.42
188202,-0.38
188203,-0.37
188204,-0.13
188205,-0.05
188206,-0.11
188207,-0.08
188208,0.12
188209,0.04
188210,0.15
188211,0.19
188212,0.28
188301,0.02
188302,-0.43
188303,-0.3
188304,-0.25
188305,-0.2
188306,-0.21
188307,-0.06
188308,-0.13
188309,-0.33
188310,-0.56
188311,-0.6
188312,-0.34
188401,-0.3
188402,-0.41
188403,-0.59
188404,-0.45
188405,-0.28
188406,-0.52
188407,-0.4
188408,-0.3
188409,-0.2
188410,-0.18
188411,-0.31
188412,-0.2
188501,-0.2
188502,-0.02
188503,-0.28
188504,-0.36
188505,-0.21
188506,-0.24
188507,-0.42
188508,-0.11
188509,-0.01
188510,0.35
188511,0.35
188512,0.18
188601,0.31
188602,0.36
188603,0.51
188604,0.56
