# Title: Europe Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
185001,-3.57
185002,0.03
185003,-2.12
185004,-0.55
185005,-0.31
185006,0.57
185007,0.22
185008,0.56
185009,-0.81
185010,-0.5
185011,-0.21
185012,0.33
185101,0.32
185102,-0.3
185103,-0.71
185104,0.41
185105,-0.46
185106,-0.93
185107,-0.77
185108,-0.42
185109,-0.06
185110,0.93
185111,0.14
185112,-0.21
185201,0.45
185202,-0.24
185203,-0.83
185204,-1.79
185205,-0.07
185206,0.44
185207,0.09
185208,0.22
185209,0.1
185210,-0.52
185211,0.29
185212,1.06
185301,1.72
185302,0.09
185303,-1.53
185304,-1.2
185305,-0.41
185306,0.3
185307,0.44
185308,0.47
185309,0.1
185310,0.75
185311,-0.23
185312,-1.24
185401,-0.61
185402,-0.88
185403,-0.97
185404,-1.07
185405,0.55
185406,-0.25
185407,0.38
185408,0.18
185409,-0.65
185410,0.34
185411,-1.04
185412,0.61
185501,-1.37
185502,-1.98
185503,-0.32
185504,-0.67
185505,-0.45
185506,0.07
185507,0.25
185508,-0.26
185509,-1.11
185510,0.72
185511,-0.67
185512,-2.66
185601,0.92
185602,0.02
185603,-2.3
185604,-0.53
185605,-0.76
185606,-0.04
185607,-1.03
185608,-0.74
185609,-0.7
185610,-0.49
185611,-2.58
185612,0.02
185701,-0.08
185702,-0.76
185703,-0.5
185704,-0.18
185705,-0.77
185706,-0.68
185707,-0.24
185708,0.3
185709,-0.17
185710,0.88
185711,-0.27
185712,0.66
185801,-1.34
185802,-2.24
185803,-1.08
185804,-0.71
185805,-0.24
185806,0.64
185807,0.35
185808,0.18
185809,0.47
185810,0.82
185811,-1.63
185812,0.01
185901,0.22
185902,0.94
185903,0.49
185904,0.29
185905,0.57
185906,0.3
185907,0.67
185908,0.98
185909,0.23
185910,0.49
185911,-0.29
185912,-0.88
186001,0.78
186002,-1.04
186003,-1.51
186004,-0.26
186005,-0.33
186006,0.36
186007,-0.62
186008,-0.24
186009,-0.2
186010,-0.61
186011,-1.25
186012,-1.36
186101,-3.24
186102,0.71
186103,0.62
186104,-1.19
186105,-1.55
186106,0.82
186107,0.45
186108,0.41
186109,-0.13
186110,0.23
186111,-0.03
186112,-0.98
186201,-2.18
186202,-1.84
186203,-0.05
186204,0.05
186205,0.39
186206,0.28
186207,-0.18
186208,-0.58
186209,-0.56
186210,-0.42
186211,-1.02
186212,-2.18
186301,1.09
186302,0.67
186303,0.6
186304,-0.37
186305,0.28
186306,0.23
186307,-0.62
186308,0.51
186309,0.76
186310,0.58
186311,0.31
186312,-0.48
186401,-2.45
186402,-0.5
186403,0.72
186404,-0.69
186405,-1.37
186406,0.32
186407,-0.42
186408,-1.07
186409,-0.44
186410,-1.37
186411,-1.37
186412,-1.77
186501,0.84
186502,-2.21
186503,-1.64
186504,0.19
186505,0.85
186506,-0.95
186507,0.78
186508,-0.19
186509,-0.11
186510,0.57
186511,0.49
186512,-0.21
186601,1.47
186602,0.55
186603,-0.2
186604,0.19
186605,-0.7
186606,1.18
186607,0.11
186608,-0.38
186609,1.06
186610,-0.98
186611,-0.92
186612,-0.28
186701,-0.31
186702,1.21
186703,-1.36
186704,-0.52
186705,-1.36
186706,-0.9
186707,-0.79
186708,-0.29
186709,-0.54
186710,-0.13
186711,-1.88
186712,-2.35
186801,-0.93
186802,-0.14
186803,0.03
186804,-0.52
186805,1.15
186806,1.17
186807,0.43
186808,0.74
186809,0.44
186810,0.64
186811,-0.92
186812,1.01
186901,-0.7
186902,2.23
186903,0.01
186904,0.62
186905,0.56
186906,-0.51
186907,-0.04
186908,-0.24
186909,0.05
186910,-0.32
186911,-0.29
186912,0.45
187001,0.09
187002,-2.87
187003,-0.96
187004,-0.7
187005,0.53
187006,0.15
187007,0.43
187008,-0.53
187009,-0.92
187010,-1
187011,0.53
187012,-2.08
187101,-1.57
187102,-2.16
187103,0.29
187104,-0.52
187105,-1.33
187106,-1.28
187107,0.05
187108,-0.03
187109,-0.63
187110,-1.5
187111,-1.22
187112,-2.39
187201,1.2
187202,-0.35
187203,0.51
187204,0.96
187205,1.01
187206,0.32
187207,0.41
187208,-0.1
187209,0.44
187210,0.84
187211,1.3
187212,0.71
187301,1.82
187302,-0.19
187303,0.72
187304,-0.81
187305,-1.16
187306,-0.34
187307,0.28
187308,0.27
187309,-0.23
187310,0.43
187311,0.14
187312,0.3
187401,1.02
187402,-0.14
187403,-1.24
187404,0.1
187405,-2.05
187406,-0.21
187407,0.46
187408,-0.44
187409,0.47
187410,0.73
187411,-0.76
187412,-0.12
187501,-0.48
187502,-1.83
187503,-2.82
187504,-1.6
187505,0.36
187506,1.15
187507,-0.12
187508,0.08
187509,-0.83
187510,-1.08
187511,-1.24
187512,-2.93
187601,-2.13
187602,-0.02
187603,0.47
187604,0.42
187605,-1.56
187606,0.43
187607,-0.02
187608,0.06
187609,-0.31
187610,-0.26
187611,-2.22
187612,-0.47
187701,0.84
187702,-0.05
187703,-1.13
187704,-1.04
187705,-1.11
187706,0.39
187707,-0.37
187708,0.14
187709,-1.41
187710,-1.18
187711,0.8
187712,-0.32
187801,-0.75
187802,0.23
187803,-0.3
187804,0.54
187805,0.16
187806,0.39
187807,-0.81
187808,0.1
187809,0.89
187810,1.03
187811,0.53
187812,-0.27
187901,-0.27
187902,0.81
187903,-0.85
187904,-0.39
187905,-1.04
187906,0.12
187907,-0.91
187908,0.12
187909,0.4
187910,-0.5
187911,-1.7
187912,-3.17
188001,-1.97
188002,-0.7
188003,-0.87
188004,0.12
188005,-0.97
188006,-0.26
188007,0.44
188008,-0.12
188009,0.15
188010,-0.71
188011,-0.24
188012,0
188101,-1.8
188102,-1.01
188103,-0.93
188104,-1.18
188105,-0.88
188106,-0.92
188107,-0.25
188108,-0.14
188109,-0.83
188110,-1.7
188111,-0.5
188112,-0.61
188201,1.1
188202,0.29
188203,1.5
188204,-0.16
188205,-0.27
188206,-0.69
188207,0.24
188208,-0.32
188209,0.08
188210,-0.59
188211,-0.7
188212,-0.9
188301,-0.97
188302,-0.23
188303,-2.16
188304,-1.1
188305,-0.42
188306,0.37
188307,-0.07
188308,-0.51
188309,-0.12
188310,-0.31
188311,0.34
188312,-0.55
188401,0.58
188402,1.27
188403,0.26
188404,-1.08
188405,-0.65
188406,-1.08
188407,-0.21
188408,-0.78
188409,-0.55
188410,-0.46
188411,-1.55
188412,0.15
188501,-1.46
188502,1.18
188503,-0.16
188504,0.09
188505,-0.72
188506,-0.11
188507,0.18
188508,-0.95
188509,-0.72
188510,-0.56
188511,-0.84
188512,-0.8
188601,0
188602,-1.11
188603,-1.27
188604,0.04
188605,-0.18
188606,-0.34
188607,-0.63
188608,-0.39
188609,0.16
188610,-0.03
188611,0.4
188612,0.58
188701,0.07
188702,-0.34
188703,-0.65
188704,-0.63
188705,-0.32
188706,-0.58
188707,-0.03
188708,-0.68
188709,0.29
188710,-1.23
188711,-0.1
188712,-0.73
188801,-1.65
188802,-2.14
188803,-1.88
188804,-1.13
188805,-0.58
188806,-0.39
188807,-1.18
188808,-1.09
188809,-0.29
188810,-0.71
188811,-1.59
188812,-0.77
188901,-1.25
188902,-0.97
188903,-1.87
188904,-0.6
188905,1.09
188906,0.87
188907,-0.17
188908,-0.5
188909,-1.31
188910,0.46
188911,-0.04
188912,-1.62
189001,0.8
189002,-1.1
189003,0.42
189004,0.26
189005,0.55
189006,-0.59
189007,-0.57
189008,0.42
189009,-0.45
189010,-1.04
189011,-0.51
189012,-2.81
189101,-2.38
189102,-1.07
189103,-0.43
189104,-1.25
189105,-0.2
189106,-0.43
189107,0.13
189108,-0.68
189109,-0.28
189110,0.41
189111,-0.99
189112,0.38
189201,-0.97
189202,0.05
189203,-0.83
189204,-0.47
189205,-0.44
189206,-0.03
189207,-0.84
189208,-0.06
189209,0.54
189210,-0.38
189211,-0.6
189212,-1.98
189301,-4.26
189302,-1.42
189303,-0.6
189304,-1.05
189305,-0.7
189306,-0.15
189307,-0.21
189308,-0.22
189309,-0.64
189310,0.55
189311,-0.37
189312,0.19
189401,-0.93
189402,0.45
189403,0.43
189404,0.7
189405,-0.27
189406,-0.72
189407,0.08
189408,-0.55
189409,-1.71
189410,-0.47
189411,0.02
189412,-0.37
189501,-0.44
189502,-2.22
189503,-1.34
189504,-0.02
189505,-0.02
189506,0.01
189507,0.08
189508,-0.28
189509,0.22
189510,0.1
189511,0.59
189512,-0.46
189601,-1.17
189602,-0.16
189603,0.55
189604,-1.37
189605,-0.94
189606,0.21
189607,0.24
189608,-0.5
189609,0.08
189610,0.63
189611,-1.3
189612,-0.35
189701,-0.6
189702,0.18
189703,0.47
189704,0.4
189705,0.17
189706,0.41
189707,0.47
189708,0.31
189709,0.21
189710,-0.28
189711,-1.36
189712,-0.83
189801,1.05
189802,0.22
189803,-1.04
189804,-0.47
189805,-0.29
189806,-0.48
189807,-0.81
189808,0.03
189809,-0.16
189810,-0.03
189811,0.89
189812,0.76
189901,1.31
189902,0.89
189903,-0.61
189904,0.17
189905,-0.36
189906,-0.91
189907,0.25
189908,-0.54
189909,0.14
189910,-0.08
189911,0.71
189912,-1.93
190001,0.36
190002,0.35
190003,-1.51
190004,-0.8
190005,-0.69
190006,0.16
190007,0.25
190008,0.03
190009,-0.21
190010,0.65
190011,0.55
190012,0.72
190101,-0.82
190102,-1.6
190103,-0.08
190104,0.27
190105,-0.08
190106,1.11
190107,0.85
190108,0.41
190109,-0.12
190110,0.38
190111,-1.11
190112,0.02
190201,1.11
190202,0.12
190203,-0.48
190204,-0.85
190205,-1.87
190206,-0.88
190207,-1.3
190208,-0.94
190209,-0.93
190210,-1.05
190211,-1.68
190212,-2
190301,-0.1
190302,1.64
190303,1.23
190304,-0.86
190305,-0.29
190306,-0.58
190307,-0.8
190308,-0.65
190309,-0.32
190310,-0.61
190311,-0.1
190312,-0.19
190401,-0.26
190402,0.58
190403,-0.9
190404,-0.23
190405,-0.83
190406,-0.58
190407,-0.1
190408,-0.32
190409,-0.95
190410,0.1
190411,-1.27
190412,-0.23
190501,-1.53
190502,-0.29
190503,0.01
190504,-0.86
190505,-0.1
190506,0.47
190507,0.57
190508,0
190509,-0.11
190510,-1.68
190511,0.08
190512,-0.02
190601,0.44
190602,0.12
190603,-0.27
190604,0.14
190605,0.4
190606,0.01
190607,-0.03
190608,-0.53
190609,-0.83
190610,-0.24
190611,0.73
190612,-0.82
190701,-1.33
190702,-1.32
190703,-1.14
190704,-1.29
190705,0.04
190706,-0.22
190707,-1.15
190708,-0.94
190709,-0.68
190710,1.2
190711,-0.61
190712,-0.51
190801,-0.42
190802,0.54
190803,-0.98
190804,-1.23
190805,0.23
190806,0.12
190807,-0.35
190808,-0.72
190809,-0.71
190810,-0.23
190811,-1.99
190812,-0.92
190901,-0.89
190902,-2.01
190903,-1.21
190904,-0.79
190905,-0.92
190906,-0.96
190907,-0.88
