# Title: North America Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
185001,-0.75
185002,0.21
185003,-1.73
185004,-1.17
185005,-0.33
185006,0.39
185007,0.59
185008,1.06
185009,0.83
185010,0.69
185011,0.94
185012,-0.74
185101,0.53
185102,0.92
185103,1.2
185104,0.95
185105,0.47
185106,-0.21
185107,0.08
185108,0.15
185109,1.21
185110,1.2
185111,0.53
185112,-1.11
185201,1.86
185202,1.11
185203,-1.62
185204,-0.35
185205,0.2
185206,0.6
185207,0.1
185208,0.54
185209,0.14
185210,0.92
185211,0.25
185212,-1.79
185301,0.02
185302,-0.04
185303,-0.46
185304,0.39
185305,0.41
185306,0.35
185307,0.4
185308,0.18
185309,-0.53
185310,-1.04
185311,-1.05
185312,1.36
185401,-1.5
185402,0.16
185403,-0.31
185404,0.2
185405,-0.13
185406,0.61
185407,0.86
185408,0.36
185409,0.27
185410,0.36
185411,1.76
185412,0.54
185501,1.03
185502,-0.16
185503,0.27
185504,0.33
185505,0.86
185506,0.47
185507,0.33
185508,0.09
185509,-0.32
185510,0.57
185511,0.4
185512,0.37
185601,1.8
185602,2
185603,1.27
185604,0.91
185605,0.56
185606,0.9
185607,0.43
185608,-0.31
185609,0.49
185610,-0.22
185611,1.49
185612,1.07
185701,0.65
185702,1.76
185703,1.31
185704,-0.23
185705,0.24
185706,0.17
185707,0.22
185708,-0.43
185709,-0.03
185710,0.33
185711,1.26
185712,2.3
185801,1.34
185802,-0.18
185803,0.6
185804,0.05
185805,-0.58
185806,0.58
185807,0.28
185808,-0.04
185809,0.23
185810,0.44
185811,0.65
185812,-0.09
185901,1.06
185902,0.64
185903,1.2
185904,-0.06
185905,0.53
185906,0.21
185907,-0.42
185908,0.49
185909,-0.17
185910,-0.41
185911,0.57
185912,0.86
186001,0.48
186002,-0.02
186003,1.22
186004,0.35
186005,0.97
186006,0.18
186007,-0.28
186008,-0.27
186009,-0.57
186010,-0.29
186011,0.66
186012,-0.45
186101,-0.88
186102,0.23
186103,-0.22
186104,-0.39
186105,-0.52
186106,-0.1
186107,-0.08
186108,-0.58
186109,-0.6
186110,-0.78
186111,-0.02
