# Title: Oceania Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
185001,-0.3
185002,-0.65
185003,-0.15
185004,-0.68
185005,-0.04
185006,0.37
185007,0.15
185008,0.68
185009,-0.29
185010,-1.12
185011,0.04
185012,0.18
185101,0.48
185102,-0.45
185103,0.54
185104,-0.28
185105,-0.17
185106,-0.35
185107,-0.06
185108,2.26
185109,0.37
185110,0.23
185111,-0.51
185112,-0.34
185201,0.05
185202,-0.78
185203,-0.08
185204,-0.72
185205,-0.66
185206,0.51
185207,0.76
185208,0.63
185209,1.18
185210,0.27
185211,1.2
185212,0.33
185301,0.07
185302,0.43
185303,0
185304,-0.44
185305,-0.35
185306,-0.66
185307,0.2
185308,0.18
185309,0.13
185310,-0.08
185311,0.85
185312,-0.37
185401,0.63
185402,-0.47
185403,-0.46
185404,0.23
185405,-0.5
185406,-0.76
185407,0.05
185408,0.6
185409,0.02
185410,0.23
185411,-0.55
185412,0.29
185501,-0.33
185502,-0.04
185503,0.35
185504,-0.31
185505,-0.28
185506,-0.23
185507,0.04
185508,-0.3
185509,0.59
185510,0.23
185511,0.1
185512,-0.66
185601,0.33
185602,-0.15
185603,0.9
185604,-0.13
185605,-0.7
185606,0.34
185607,-0.19
185608,0.42
185609,0.26
185610,-0.84
185611,-0.47
185612,-0.81
185701,0.04
185702,-0.29
185703,0.13
185704,0.85
185705,-0.85
185706,-0.1
185707,0.08
185708,0.33
185709,-0.23
185710,-0.22
185711,-0.38
185712,-0.24
185801,-0.45
185802,-0.7
185803,-0.25
185804,-0.59
185805,-0.33
185806,-0.82
185807,-0.82
185808,-0.11
185809,-0.34
185810,-0.53
185811,0.19
185812,-0.23
185901,-0.68
185902,-0.26
185903,-0.87
185904,-1.52
185905,-0.51
185906,-0.27
185907,-0.54
185908,0.51
185909,-0.46
185910,0.46
185911,-0.52
185912,0.04
186001,-0.22
186002,-0.57
186003,-0.64
186004,-0.34
186005,-0.86
186006,-0.64
186007,0.17
186008,0.11
186009,0.16
186010,-0.29
186011,-1.08
186012,-0.26
186101,-0.48
186102,-1.46
186103,-0.35
186104,-0.71
186105,-0.77
186106,-0.5
186107,-1.02
186108,-0.33
186109,-0.63
186110,-0.2
186111,-0.42
186112,-0.24
186201,0.26
186202,-0.01
186203,0.59
186204,-0.62
186205,-0.72
186206,-0.15
186207,0.04
186208,-0.63
186209,0.11
186210,-0.18
186211,0.58
186212,0.86
186301,0.65
186302,0.02
186303,0.04
186304,-0.52
186305,-0.13
186306,0.07
186307,-0.39
186308,-0.65
186309,-0.82
186310,-0.7
186311,-1.15
186312,-0.66
186401,0.1
186402,-0.26
186403,-0.05
186404,0.61
186405,0.03
186406,-0.01
186407,0.12
186408,-0.05
186409,0.15
186410,-0.74
186411,-0.28
186412,0.64
186501,0.07
186502,-0.46
186503,-0.14
186504,-0.47
186505,-1.32
186506,-0.18
186507,-0.14
186508,0.21
186509,0.29
186510,-0.61
186511,0.12
186512,-0.02
186601,-0.05
186602,-0.1
186603,0.26
186604,1.16
186605,0.86
186606,-0.11
186607,-0.36
186608,-0.95
186609,0.23
186610,0.6
186611,-0.78
186612,-1.05
186701,0.22
186702,-0.36
186703,-0.78
186704,-0.39
186705,0.84
186706,0.89
186707,0.54
186708,0.86
186709,0.46
186710,0.89
186711,-0.55
186712,-0.55
186801,-0.43
186802,-0.4
186803,-0.01
186804,0.1
186805,-0.45
186806,0.1
186807,-0.33
186808,0.31
186809,0.79
186810,1.71
186811,-0.52
186812,0.83
186901,0
186902,0.23
186903,0.85
186904,0.17
186905,-0.24
186906,0.36
186907,0.1
186908,-0.1
186909,-0.37
186910,-0.17
186911,0.07
186912,0.49
187001,0.6
187002,-0.36
187003,-0.23
187004,-0.24
187005,-0.25
187006,1.04
187007,0.19
187008,-0.33
187009,-0.06
187010,0.11
187011,-0.39
187012,0.17
187101,0.22
187102,1
187103,-0.76
187104,0.31
187105,0.01
187106,0.5
187107,0.2
187108,-0.22
187109,0.36
187110,-0.5
187111,0.03
187112,0.83
187201,0.9
187202,0.12
187203,0.63
187204,-1.12
187205,-0.94
187206,0.16
187207,-0.72
187208,-0.38
187209,-0.09
187210,-0.25
187211,-0.57
187212,0.59
187301,0.21
187302,0.14
187303,-0.6
187304,-0.67
187305,-0.67
187306,0.74
187307,-0.13
187308,0.95
187309,0.68
187310,0.71
187311,-1.37
187312,-0.08
187401,-0.44
187402,-0.79
187403,-0.8
187404,0.57
187405,-1
187406,-0.31
187407,-0.48
187408,-0.26
187409,0.1
187410,0.75
187411,-0.67
187412,0.05
187501,0.74
187502,0.49
187503,-0.21
187504,0.49
187505,-0.69
187506,-0.45
187507,0.36
187508,-0.14
187509,-0.19
187510,-0.26
187511,-1.12
187512,-0.65
187601,-0.56
187602,-1.25
187603,1.13
187604,-0.11
187605,-0.07
187606,-1.18
187607,0.25
187608,-0.63
187609,-0.4
187610,-0.03
187611,-0.86
187612,-0.2
187701,0.11
187702,0.11
187703,0.16
187704,0.15
187705,-0.44
187706,-0.06
187707,0.41
187708,0.58
187709,0.04
187710,-0.09
187711,0.69
187712,0.55
187801,0.55
187802,-0.35
187803,0.6
187804,0.81
187805,0.1
187806,-0.18
187807,1.31
187808,0.39
187809,1.18
187810,0.99
187811,-0.05
187812,0.11
187901,0.09
187902,-0.38
187903,-0.88
187904,-0.67
187905,-0.59
187906,-0.67
187907,-0.21
187908,0.1
187909,-0.39
187910,-0.87
187911,-0.7
187912,0.37
188001,-0.58
188002,0.02
188003,0.58
188004,-0.15
188005,-0.39
188006,-0.92
188007,-1.05
188008,0.95
188009,0.05
188010,-0.55
188011,0.23
188012,0.2
188101,0.05
188102,-0.83
188103,-0.35
188104,0.6
188105,0.71
188106,-0.99
188107,-0.53
188108,0.3
188109,-0.31
188110,-0.17
188111,-0.31
188112,0.25
188201,0.32
188202,-0.04
188203,1.03
188204,-0.15
188205,-0.42
188206,-1.27
188207,-0.6
188208,0.09
188209,0.32
188210,0.24
188211,-0.26
188212,-0.61
188301,-0.04
188302,-0.47
188303,-0.64
188304,-0.9
188305,-0.76
188306,0.51
188307,-0.34
188308,-0.51
188309,-0.9
188310,-0.49
188311,-0.82
188312,-0.27
188401,-0.53
188402,-0.25
188403,-0.35
188404,0.07
188405,-0.8
188406,-0.01
188407,-1.23
188408,0.19
188409,0.06
188410,-0.23
188411,-0.66
188412,-0.68
188501,-0.12
188502,-0.82
188503,-1.43
188504,-1.1
188505,0.09
188506,-1.04
188507,-0.74
188508,0.07
188509,-0.02
188510,0.53
188511,-0.14
188512,0.46
188601,0.47
188602,-0.3
188603,-0.23
188604,-0.05
188605,0
188606,-0.5
188607,0.04
188608,-0.02
188609,0.47
188610,-0.76
188611,-0.13
188612,-0.55
188701,0.52
188702,-0.94
188703,-0.14
188704,-0.69
188705,-0.86
188706,-1.21
188707,-0.73
188708,-0.42
188709,-0.48
188710,-0.42
188711,-0.66
188712,-0.44
188801,0.45
188802,-0.26
188803,-0.9
188804,0.57
188805,-0.41
188806,0.04
188807,-0.65
188808,-0.37
188809,-0.32
188810,0.13
188811,0.96
188812,0.93
188901,0.15
188902,0.59
188903,0.72
188904,0.18
188905,-0.08
188906,0.25
188907,-0.35
188908,-0.26
188909,0.07
188910,0.76
188911,0.54
188912,0.57
189001,-0.05
189002,-0.17
189003,0.14
189004,-0.35
189005,-0.28
189006,0.01
189007,-0.9
189008,-0.45
189009,-0.3
189010,0.06
189011,-0.39
189012,-0.5
189101,-0.89
189102,-1.02
189103,-0.29
189104,-0.77
189105,0
189106,-0.95
189107,-1.48
189108,-1.24
189109,-0.95
189110,-0.28
189111,-0.3
189112,-0.16
189201,0.04
189202,0.37
189203,0.33
189204,-0.65
189205,-0.83
189206,-0.69
189207,-0.54
189208,0.33
189209,-0.14
189210,0.06
189211,0.42
189212,0.05
189301,0.28
189302,0.12
189303,-0.11
189304,-0.12
189305,0.04
189306,-0.66
189307,-0.02
189308,0.08
189309,0
189310,0.42
189311,-0.03
189312,-0.16
189401,-0.55
189402,-1.31
189403,-0.12
189404,-0.57
189405,-1.48
189406,-0.63
189407,-0.84
189408,-0.65
189409,-0.83
189410,-0.25
189411,-0.14
189412,-0.4
189501,-0.57
189502,-0.74
189503,-0.24
189504,-0.33
189505,-0.81
189506,-0.37
189507,-1.1
189508,-0.25
189509,-0.36
189510,0.4
189511,-0.29
189512,0.21
189601,0.46
189602,-0.22
189603,-0.21
189604,-0.1
189605,-0.86
189606,-1.12
189607,-1.23
189608,-1.04
189609,-1.08
189610,0.69
189611,0.1
189612,0.68
189701,-0.03
189702,0
189703,-0.28
189704,0.42
189705,-0.62
189706,0.66
189707,0.24
189708,-0.38
189709,0.01
189710,0.31
189711,1.03
189712,0.28
189801,0.33
189802,-0.17
189803,-0.27
189804,-0.77
189805,-1.51
189806,-0.28
189807,-0.43
189808,0.14
189809,0.24
189810,0.02
189811,0.44
189812,0.21
189901,-1.12
189902,0.14
189903,-0.18
189904,-0.13
189905,-0.94
189906,-0.49
189907,-1.18
189908,-0.55
189909,0.19
189910,-0.63
189911,0.05
189912,0.37
190001,-0.09
190002,1.13
190003,-0.02
190004,-0.34
190005,-0.44
190006,0.27
190007,-0.65
190008,0.06
190009,-0.43
190010,0.56
190011,1
190012,0.89
190101,0.12
190102,0.01
190103,-0.56
190104,-0.42
190105,-0.14
190106,-0.9
190107,-0.87
190108,-0.53
190109,0.31
190110,-0.54
190111,0.81
190112,0.69
190201,0.09
190202,0.09
190203,-0.1
190204,-0.1
190205,-0.51
190206,-0.55
190207,-0.47
190208,-0.54
190209,-0.35
190210,-0.14
190211,-0.02
190212,-0.5
190301,-0.08
190302,-0.17
190303,0
190304,-0.13
190305,-0.51
190306,-0.56
190307,-0.66
190308,-0.3
190309,-0.61
190310,-0.44
190311,-0.54
190312,-1.11
190401,-0.97
190402,-0.9
190403,-0.79
190404,-0.3
190405,-0.53
190406,-1.11
190407,-0.44
190408,-0.65
190409,-0.78
190410,-0.7
190411,-0.05
190412,0.02
190501,-0.12
190502,-0.55
190503,-0.01
190504,0.11
190505,0.04
190506,-0.5
190507,-0.61
190508,-0.93
190509,-1.56
190510,-1.61
190511,-0.17
190512,0.43
190601,0.87
190602,0.69
190603,-0.75
190604,0.37
190605,0.23
190606,0.66
190607,0.41
190608,-0.15
190609,-0.3
190610,-0.08
190611,-0.88
190612,-0.44
190701,-0.51
190702,-0.21
190703,-0.84
190704,-0.63
190705,-0.33
190706,-0.32
190707,-0.21
190708,-0.08
190709,-0.1
190710,0.28
190711,-0.48
190712,-0.42
190801,0.25
190802,-0.5
190803,-0.97
190804,-0.35
190805,-0.54
190806,-1.57
190807,-0.87
190808,-0.94
190809,-1.39
190810,-1.04
190811,-0.03
190812,-0.07
190901,-0.62
190902,-0.58
190903,-0.26
190904,-1.07
190905,-0.7
190906,-0.18
190907,-0.87
190908,-0.14
190909,-0.42
190910,0.16
190911,-0.33
190912,-0.99
191001,-0.07
191002,-0.06
191003,-0.92
191004,-0.02
191005,0.23
191006,-0.02
191007,0.09
191008,0.24
191009,0.46
191010,-0.91
191011,-0.66
191012,-0.78
191101,-0.4
191102,-0.82
191103,-0.44
191104,-0.47
