# Title: South America Average Temperature Anomalies
# Units: Degrees Celsius
# Base Period: 1910-2000
Date,Anomaly
185001,-0.39
185002,0.1
185003,-0.29
185004,-0.24
185005,-0.14
185006,-0.26
185007,0.22
185008,0.2
185009,-0.13
185010,-0.67
185011,-0.13
185012,0.39
185101,0.11
185102,0.24
185103,0.18
185104,-0.05
185105,-0.58
185106,0.29
185107,0.89
185108,0.24
185109,-0.23
185110,0.24
185111,-0.12
185112,-0.01
185201,0.17
185202,-0.37
185203,-0.31
185204,-0.06
185205,-0.04
185206,0.92
185207,0.75
185208,1.4
185209,0.22
185210,0.29
185211,0.7
185212,0.42
185301,0.06
185302,-0.42
185303,-0.34
185304,-0.32
185305,0.16
185306,0.78
185307,0.79
185308,0.02
185309,0.18
185310,0.29
185311,-0.19
185312,-0.37
185401,0.03
185402,-0.19
185403,-0.11
185404,-0.36
185405,-0.17
185406,1.01
185407,0.39
185408,-0.62
185409,-0.39
185410,0
185411,-0.29
185412,-0.1
185501,-0.24
185502,-0.75
185503,-0.29
185504,-0.48
185505,0.39
185506,0.7
185507,-0.1
185508,0.11
185509,-0.38
185510,0.27
185511,0.29
185512,-0.29
185601,0.32
185602,0.19
185603,-0.54
185604,-0.48
185605,-0.49
185606,0
185607,-0.3
185608,-0.33
185609,-0.42
185610,-0.54
185611,0.08
185612,-0.22
185701,-0.1
185702,-0.6
185703,0.22
185704,-0.1
185705,-0.26
185706,0.26
185707,0.4
185708,-0.04
185709,-0.13
185710,-0.01
185711,0.32
185712,0.26
185801,-0.02
185802,-0.2
185803,0
185804,-0.14
185805,-1.04
185806,-0.07
185807,-0.31
185808,-0.22
185809,-0.48
185810,-0.23
185811,-0.78
185812,-0.76
185901,-0.53
185902,-0.26
185903,-0.47
185904,-0.45
185905,-0.42
185906,-0.18
185907,-0.54
185908,-0.55
185909,-1.3
185910,-0.71
185911,-0.95
185912,-0.22
186001,-0.67
186002,-0.79
186003,-0.67
186004,-1.31
186005,-1.73
186006,-1.23
186007,-0.99
186008,-0.58
186009,-1.56
186010,-1.35
186011,-0.83
186012,-0.81
186101,-0.97
186102,-0.71
186103,-0.64
186104,-1.09
186105,-1.65
186106,-1.09
186107,-1.35
186108,-0.43
186109,-1.21
186110,-1.57
186111,-1.03
186112,-0.6
186201,-1.18
186202,-1.46
186203,-0.98
186204,-0.62
186205,-0.93
186206,-0.43
186207,-1.32
186208,-1.35
186209,-1.88
186210,-1.26
186211,-0.74
186212,-0.85
186301,-0.75
186302,-0.88
186303,-0.86
186304,-1.17
186305,-1.7
186306,-1.01
186307,-1.15
186308,-1.31
186309,-1.97
186310,-1.62
186311,-1.34
186312,-1.08
186401,-1.24
186402,-1.48
186403,-0.77
186404,-0.96
186405,-1.03
186406,-1.2
186407,-1.54
186408,-1.28
186409,-1.43
186410,-1.25
186411,-0.96
186412,-1.12
186501,-0.78
186502,-0.69
186503,-0.78
186504,-1.15
186505,-1.03
186506,-0.17
186507,-1.33
186508,-0.76
186509,-1.07
186510,-1.09
186511,-0.7
186512,-0.62
186601,-0.61
186602,-0.68
186603,-0.67
186604,-0.49
186605,-1
186606,-1.53
186607,-0.86
186608,-1.6
186609,-1.05
186610,-1.46
186611,-1.76
186612,-1.02
186701,-0.74
186702,-1.21
186703,-1.22
186704,-1.73
186705,-0.92
186706,-1.24
186707,-1.39
186708,-1.28
186709,-0.76
186710,-1.13
186711,-0.87
186712,-1.05
186801,-0.97
186802,-0.93
186803,-0.91
186804,-1.46
186805,-1.56
186806,-0.66
186807,-1.02
186808,-0.43
186809,-0.73
186810,-0.69
186811,-1.5
186812,-0.6
186901,-0.52
186902,-0.13
186903,-0.73
186904,-0.65
186905,-0.15
186906,-1.02
186907,-1.25
186908,-1.41
186909,-1.13
186910,-1.11
186911,-0.92
186912,-0.82
187001,-0.73
187002,-1.23
187003,-1.09
187004,-1.24
187005,-1.39
187006,-0.99
187007,-0.76
187008,-0.15
187009,-1.52
187010,-1.12
187011,-1.04
187012,-0.41
187101,-0.91
187102,-1
187103,-0.79
187104,-0.9
187105,-1.53
187106,-1.35
187107,-1.13
187108,-1.13
187109,-1.44
187110,-1.71
187111,-0.88
187112,-0.61
187201,-0.96
187202,-1.17
187203,-0.73
187204,-1.13
187205,-1.7
187206,-0.73
187207,-1.13
187208,-0.2
187209,-0.62
187210,-0.84
187211,-1.17
187212,-0.98
187301,-0.15
187302,-0.97
187303,-1.2
187304,-1.19
187305,-0.97
187306,-0.95
187307,-0.89
187308,-0.63
187309,-0.75
187310,-1.37
187311,-0.65
187312,-1.03
187401,-0.23
187402,-0.73
187403,-1.34
187404,-1.11
187405,-1.95
187406,-0.81
187407,-1.47
187408,-1.87
187409,-1.16
187410,-1.18
187411,-1.25
187412,-1.42
187501,-0.76
187502,-1.15
187503,-1.03
187504,-1.01
187505,-1.22
187506,-1.84
187507,-1.07
187508,-1.33
187509,-1.09
187510,-1.32
187511,-1.79
187512,-1.67
187601,-1.26
187602,-1.4
187603,-0.77
187604,-0.6
187605,-1.08
187606,-0.82
187607,-1.15
187608,-1.7
187609,-0.88
187610,-1.01
187611,-1.99
187612,-1.59
187701,-0.58
187702,-0.66
187703,-0.62
187704,-0.04
187705,-0.89
187706,-0.38
187707,0.41
187708,-0.58
187709,-0.22
187710,-0.1
187711,-0.35
187712,-0.5
187801,-0.34
187802,0.14
187803,-0.03
187804,-0.28
187805,-0.64
187806,0.24
187807,-0.1
187808,-0.63
187809,-0.43
187810,-0.89
187811,-0.8
187812,-1.25
187901,-1.53
187902,-1.05
187903,-1.27
187904,-1.25
187905,-1.04
187906,-0.95
187907,-0.38
187908,-0.77
187909,-1.1
187910,-1.05
187911,-1.8
187912,-1.19
188001,-1.17
188002,-1.38
188003,-1.07
188004,-1.09
188005,-0.87
188006,-0.25
188007,-0.62
188008,0.04
188009,-0.98
188010,-1.21
188011,-0.9
188012,-0.72
188101,-0.85
188102,-0.94
188103,-0.54
188104,-0.85
188105,-0.3
188106,-0.45
188107,-0.36
188108,-0.85
188109,-0.21
188110,-0.46
188111,-0.89
188112,-0.42
188201,-0.65
188202,-0.77
188203,-0.89
188204,-0.85
188205,-0.75
188206,-0.75
188207,-1.09
188208,-0.26
188209,-0.89
188210,-0.41
188211,-1.12
188212,-1.23
188301,-1.18
188302,-1.44
188303,-0.98
188304,-0.92
188305,-0.74
188306,0.12
188307,-0.53
188308,-0.59
188309,-0.49
188310,-0.76
188311,-1.16
188312,-1.33
188401,-0.87
188402,-0.92
188403,-1.01
188404,-0.75
188405,-1.12
188406,-1.19
188407,-0.67
188408,1.13
188409,-0.26
188410,-1.49
188411,-1.21
188412,-1.03
188501,-0.84
188502,-0.6
188503,-1.19
188504,-0.81
188505,-0.74
188506,-1.3
188507,-1.25
188508,-0.35
188509,-0.02
188510,-0.47
188511,-0.3
188512,-0.27
